simple_hill_climbing output
Distance 71099.0450682
Distance 71096.9948981
Distance 71077.6945635
Distance 71015.2879373
Distance 71005.991436
Distance 70837.8756815
Distance 70815.6841904
Distance 70810.8050203
Distance 70808.2702123
Distance 70767.6201908
Distance 70599.7214416
Distance 70501.031109
Distance 70366.334622
Distance 70351.6249438
Distance 70291.5355025
Distance 70288.0513255
Distance 70278.3853563
Distance 70272.2601943
Distance 70035.2642906
Distance 69998.8640372
Distance 69997.2816279
Distance 69974.4048689
Distance 69971.605962
Distance 69961.4690191
Distance 69957.4895009
Distance 69945.6087371
Distance 69877.7704206
Distance 69808.8906039
Distance 69799.8830638
Distance 69770.1262755
Distance 69646.2232611
Distance 69640.7628193
Distance 69589.8300552
Distance 69558.7258591
Distance 69524.2593296
Distance 69481.0388525
Distance 69347.1856714
Distance 69346.4593127
Distance 69287.1585633
Distance 69283.8113658
Distance 69278.7787378
Distance 69277.2497832
Distance 69202.2998307
Distance 69114.9739378
Distance 69052.5475277
Distance 68982.8392543
Distance 68981.9035207
Distance 68922.1625003
Distance 68843.5395008
Distance 68838.805372
Distance 68761.1187623
Distance 68760.944104
Distance 68759.0805874
Distance 68749.3214557
Distance 68744.6832905
Distance 68711.1686986
Distance 68646.3337009
Distance 68559.2908962
Distance 68555.5294497
Distance 68551.7709207
Distance 68548.4168957
Distance 68499.5802493
Distance 68428.5778507
Distance 68402.4878344
Distance 68354.6376912
Distance 68350.5002428
Distance 68302.7866781
Distance 68251.1665943
Distance 68242.8031171
Distance 68096.1563723
Distance 68096.0651875
Distance 68003.2032043
Distance 67953.7985639
Distance 67728.6362821
Distance 67367.2638166
Distance 67361.19773
Distance 67359.435175
Distance 67350.073247
Distance 67340.1041331
Distance 67134.8870752
Distance 67131.4877825
Distance 67122.0389555
Distance 67121.1907443
Distance 67117.9464851
Distance 67116.05538
Distance 67115.9562362
Distance 67078.4627889
Distance 67070.9352115
Distance 67057.5016532
Distance 67051.3795565
Distance 67015.5509345
Distance 67006.5672601
Distance 66948.4460535
Distance 66815.2125856
Distance 66809.8242168
Distance 66647.3237911
Distance 66602.3973333
Distance 66601.9791668
Distance 66598.7162978
Distance 66575.0255145
Distance 66557.6387319
Distance 66510.2506298
Distance 66413.2658837
Distance 66411.3681456
Distance 66410.6904462
